evnt_key,occur_date,law_desc,law_code,precinct,latitude,longitude
"261581232","2023-01-08T00:00:00.000","PUBLIC URINATION","16-118(6)","063","40.6281697437036","-73.9413587834752"
"261584910","2023-01-08T00:00:00.000","PUBLIC URINATION","16-118(6)","070","40.650402","-73.963258"
"261584917","2023-01-08T00:00:00.000","PUBLIC URINATION","16-118(6)","073","40.662483","-73.909388"
"261586303","2023-01-08T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.751967","-73.863772"
"261586476","2023-01-08T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.751709","-73.864694"
"261586480","2023-01-08T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.7535327012632","-73.9945368920152"
"261587340","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","009","40.7265156408036","-73.9882902437563"
"261587344","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.748169","-73.878868"
"261592575","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.750579","-73.870264"
"261592576","2023-01-08T00:00:00.000","PUBLIC URINATION","16-118(6)","094","40.7270006940205","-73.9529831112437"
"261593379","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","048","40.84546","-73.888078"
"261611001","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","013","40.747257","-73.991488"
"261611008","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.7535327012632","-73.9945368920152"
"261614876","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","028","40.808372","-73.946904"
"261616969","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","028","40.807435","-73.94573"
"261618730","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","070","40.642151","-73.957936"
"261618735","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261630235","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","079","40.693131","-73.945859"
"261634804","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.7894632995555","-73.9476340039424"
"261634806","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.797602","-73.941319"
"261635154","2023-01-09T00:00:00.000","PUBLIC URINATION","16-118(6)","047","40.8873136344706","-73.8472717577564"
"261652945","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.795739","-73.94268"
"261659151","2023-01-08T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.797475","-73.938898"
"261659152","2023-01-08T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.797475","-73.938898"
"261662116","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.795807","-73.937099"
"261676823","2023-01-10T00:00:00.000","PUBLIC URINATION","16-118(6)","106","40.682398279333","-73.8400721577516"
"261679298","2023-01-10T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.8009303727402","-73.9410982410066"
"261684337","2023-01-10T00:00:00.000","PUBLIC URINATION","16-118(6)","079","40.68900139556","-73.9450265328727"
"261688909","2023-01-10T00:00:00.000","PUBLIC URINATION","16-118(6)","044","40.8378421209284","-73.9196277517392"
"261712655","2023-01-11T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.753936","-73.985955"
"261712656","2023-01-11T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.75535","-73.989309"
"261727281","2023-01-10T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.788068","-73.947232"
