prop_id,lon,lat,register_matches,register_id,register_name,listed_status,nearest_alternative_m,alternatives_within400m
Q099_temp1,-73.8494652173914,40.7409108695652,1,616,Playground For All Children,Operational,166.95372165915,1
M071-ZN08,-73.9779923076923,40.7933538461539,1,354,Hippo Playground,Operational,437.203015963403,0
B223F,-73.99536,40.70106,1,226,Squibb Park,Operational,83.170328251281,2
B350,-73.96226,40.675,1,292,Stroud Playground,Operational,328.943313523343,1
B310,-73.93944,40.7017,1,190,Bushwick Playground,Operational,318.737108070166,1
M010-ZN41,-73.9548840336135,40.7957403361345,0,,,,,
B139,-73.91862,40.6951,1,415,Heckscher Playground,Operational,570.012626036562,0
B311,-73.93894,40.70906,1,277,Ten Eyck Playground,Operational,502.236068616115,0
B169-ZN06B,-73.98854,40.57238,1,208,Coney Island Beach Zone 6b,Operational,236.109107621816,3
M360-ZN02,-74.0015636363637,40.7527727272727,1,429,The High Line Zone 2,Operational,196.02676667084,2
Q005-ZN01,-73.78718,40.68138,1,442,Baisley Pond Park Zone 1,Operational,363.6675027911,2
M089,-73.9899035714286,40.7364285714286,2,,,,,
B223Pc,-73.95584,40.7097,1,228,Strawberry Playground,Operational,291.316860172718,3
Q027,-73.72696,40.685,1,471,Laurelton Parkway West Playground,Operational,152.138283667387,1
R087,-74.08982,40.5828,1,638,Dongan Playground,Operational,992.441028064594,0
M009,-73.93794,40.8532,1,308,Bennett Park,Operational,683.558381626541,0
Q371-01,-73.7848714285714,40.5983,1,696,Rockaway Community Playground,Not Operational,575.641757588891,0
B127,-73.9443714285714,40.7089857142857,1,653,Martinez Playground,Not Operational,421.445906606766,0
X028,-73.9216,40.8296,1,1055,Joyce Kilmer Park,Operational,315.516931031584,1
M010_temp2,-73.9514565217391,40.7970739130435,1,324,Frawleys' Run,Operational,337.011767638325,2
X170,-73.84572,40.83878,1,87,The Pearly Gates,Operational,247.915784998846,1
X203,-73.84974,40.81928,1,106,Randall Playground,Operational,470.794781274529,0
X010-ZN08,-73.8997076923077,40.8355846153846,1,14,Playground Of The Stars,Operational,312.100753220406,1
M104-ZN04,-73.9247461538461,40.7927692307692,1,375,Stadium Area,Operational,485.824408047696,0
R065-ZN08,-74.1586176470588,40.6041705882353,1,632,Willowbrook Park Recreational Area,Not Operational,1046.30341073802,0
Q427,-73.76894,40.67404,1,698,South Rochdale Playground,Not Operational,189.705190258722,1
X232,-73.83662,40.86296,1,114,Burns Playground,Not Operational,733.755983264063,0
X122,-73.83465,40.8524666666667,1,63,Colucci Playground,Operational,843.09505773648,0
B529,-73.9607866666667,40.7218666666667,1,302,Bushwick Inlet Park,Operational,521.210643023183,0
M028-ZN04,-73.9312888888889,40.8685111111111,1,338,Fort Washington Park Zone 4,Operational,84.428419227781,1
M229,-73.96846,40.79576,2,,,,,
M098-ZN01,-73.9983071428571,40.73075,1,371,Washington Square Park Western Half,Operational,396.367585436809,1
Q163-ZN05B,-73.8108289473684,40.5846789473684,1,516,Rockaway Beach 05b,Operational,408.225848112852,0
MR-14,-73.9559272727273,40.8100090909091,1,345,Playground 123,Operational,390.845166946151,1
B016,-73.9240428571429,40.7029857142857,1,129,Maria Hernandez Park,Operational,479.771311387191,0
Q021-ZN02,-73.77358,40.7296,2,,,,,
M058,-73.94478,40.8046,1,347,Marcus Garvey Park Zone 1,Operational,213.537651379067,1
B371-ZN01,-73.87386,40.64918,1,297,Spring Creek Park Zone 1,Operational,943.435841292156,0
B248,-73.92394,40.6327,1,242,Fox Playground,Operational,334.566317302421,1
Q162B01,-73.79446,40.58762,0,,,,,
Q404,-73.7399142857143,40.6986857142857,1,588,East Springfield Playground,Operational,344.696045159318,1
Q218,-73.9334571428571,40.7577285714286,1,522,Dutch Kills Playground,Operational,412.26742401779,0
X175,-73.90596,40.8719,1,91,Riverbend Playground,Operational,488.473672239655,0
B313,-73.9307,40.6827,1,278,El Shabazz Playground,Operational,331.984347882917,3
X038-02,-73.90106,40.87424,1,1050,Fort #4 Playground,Operational,490.262341477221,0
X165,-73.84516,40.88408,1,83,Edenwald Playground,Operational,528.518848779442,0
X092-ZN11,-73.8790285714286,40.8959428571429,1,48,Indian Memorial To Indian Field,Operational,227.060895249542,2
X092-26,-73.88158,40.88368,1,44,Sachkerah Woods Playground,Operational,435.412894893545,0
M069,-74.00248,40.72562,1,350,Vesuvio Playground,Operational,489.898291937913,0
R109,-74.1179230769231,40.6385153846154,1,641,Corporal Thompson Playground,Operational,515.674190899952,0
R067,-74.10076,40.58592,1,633,Gen. Douglas MacArthur Park,Operational,498.521094867738,0
R063,-74.08146,40.59548,1,630,Old Town Playground,Operational,907.149717103511,0
B114,-73.9434625,40.7248125,1,181,Monsignor Mcgolrick Playground,Operational,564.250771825017,0
M193,-73.93706,40.81228,1,393,Abraham Lincoln Playground,Operational,227.28375615216,2
M071-04,-73.98476,40.78342,1,352,Neufeld Playground,Operational,142.647402590155,1
